Year,Publication Date,Headline,Snippet,Section Name,Type of Material
1967,9-Aug-67,Floods Ravage Venezuela,Venezuela launches vaccination campaign after floods,,Article
1967,20-Aug-67,Venezuela Quake Toll 277,"CARACAS, Venezuela, Aug. 19 (Reuters)--The official death  toll from the earthquake here last month reached 277 today with the recovery of four more bodies. The police reported.",,Article
1967,27-Aug-67,Venezuela Establishes Unit For Training of Executives,"Dr C Lander Marquez announces Govt establishes inst to train mgt execs as part of natl development program, s, Venezuelan C of C of the US; private enterprise donates 2/3 of $3.3-million budget for 1st 5 yrs",,Article
1967,25-Sep-67,"O.A.S. Ministers Adopt New Anti-Cuban Policies; Agreement on Steps to Fight Subversion Considered a Victory for U.S., Bolivia and Venezuela--Mexico Won't Sign O.A.S. ENDORSES ANTI-CUBA POLICY","WASHINGTON, Sept. 24--After 12 virtually uninterrupted hours of debate, 21 Western Hemisphere foreign ministers reached agreement tonight on new steps to combat subversion fostered by Cuba in the hemisphere.",,Front Page
1967,29-Sep-67,VENEZUELA MAPS $400-MILLION JOB; VENEZUELA MAPS $400-MILLION JOB,"Venezuela, which derives 90 per cent of her foreign exchange from oil produced by foreign companies, took a giant step yesterday toward greater self-sufficiency.",,Article
1967,20-Oct-67,Venezuela Guerrillas Kill 2,"Guerrillas kill 2 soldiers, wound 3 near Caracas",,Article
1967,2-Dec-67,"Tribe in Venezuela, Addicted to Tobacco, Uses Hallucinogens","WASHINGTON, Dec. 1--The Yanomamo, a fierce primitive people in the jungles of Venezuela and Brazil, take hallucinogens almost daily and almost every man, woman and child is addicted to tobacco.",,Article
1968,23-Jan-68,Dr. Frank Corrigan Dies at 86; Retired Surgeon and Diplomat; Ambassador to Venezuela Under Roosevelt Calmed Dispute About Border,"Corrigan, Frank P (Dr)",,Obituary
1968,28-Jan-68,U.S. Curbs on Pollution Held Boon to Venezuela,"CARACAS, Venezuela, Jan. 27 -- The stringent measures against air pollution adopted in the United States, particularly in New York, may have been a blessing in disguise for this oil-rich nation.",,Article
1968,6-Feb-68,Betancourt Pauses in City On Way to Visit Venezuela,"In NYC en route from Switzerland to Venezuela for 1st visit since leaving office in '64; says he is divorced, will wed Dr R Hartmann Viso",,Article
1968,26-Feb-68,VENEZUELA OPENS HECTIC VOTE DRIVE; Elections in December May Produce Power Shift,"CARACAS, Venezuela, Feb. 23 -- This prosperous capital is bright these days with posters and slogans for the election year.",,Article
1968,2-Mar-68,Venezuela Politics,I have read your Feb. 26 news article about the political situation in Venezuela as reported by your correspondent Paul L. Montgomery.,,Letter
1968,3-Mar-68,Betancourt of Venezuela Is Reported Wed in Berne,,,Article
1968,26-Mar-68,"Venezuela, in Policy Shift, Seeks Oil-Service Deals, Not Leases; Venezuela, in Policy Shift, Seeks Oil-Service Deals, Not Leases","CARACAS, Venezuela, March 25 -- The Government announced today major changes in the rules under which it would allow new oil exploration rights. Ruben Sader Perez, director general of the state-owned Corporacion Venezolana de Petroleo, said that in...",,Article
1968,22-Apr-68,VENEZUELA REPORTS 7 GUERRILLAS SLAIN,"Govt repts at least 7 pro-Cuban guerrillas killed, 6 wounded in mil roundup, western area; declines comment on rept 2 were Cuban army officers",,Article
1968,28-Apr-68,"Venezuela Ahead, 1-0",,,Article
1968,6-May-68,Venezuela Kidney Implants,"Venezuelan drs transplant kidneys from dead woman, 21, into 2 men",,Article
1968,19-May-68,Venezuela Will Get Ammonia Plant,Venezuelan Petrochem Inst and 3 Amer cos agree to build $45-million plant near Maracaibo,,Article
1968,9-Jun-68,U. S. Team Trounces Venezuela In World Bridge Olympiad Play,"DEAUVILLE, France, June 8 -- The United States team started well in the second day's play of the World Bridge Team Olympiad by beating the strong Venezuelan team, 18-2.",,Article
1968,10-Jun-68,Venezuela Convoy Attacked,"8 guerrillas, 5 soldiers reptd killed in clash, Falcon state",,Article
1968,16-Jun-68,Five Universities to Open A School in Venezuela,"Northwestern U and 4 other N Amer univs to open grad school, Caracas, Oct, called Inst of Higher Adm Educ",,Article
1968,19-Jun-68,"Politics North American Style Sweeps Venezuela; Motorcades, Pretty Girls and Display of Fireworks Aid Candidate for President","CARUPANO, Venezuela, June 16 -- The old fisherman pulled his hat down close over his ears and fell into a slow dance of astonishment. Overhead, green skyrockets and pinwheels fractured the Caribbean night.",,Article
1968,22-Jun-68,"RED IN VENEZUELA LIVES AFFLUENTLY; Leader, Free After 4 Years, Denies He Is Millionaire","CARACAS, Venezuela, June 21 -- The leader of the Venezuelan Communist party sat smiling and comfortable in his tastefully furnished living room, surrounded by gold-framed pictures of his five grandchildren.",,Article
1968,17-Jul-68,Venezuela Rebuts Guyana,"Venezuela rejects Guyana charges that she violated internatl law in moving to extend sovereignty over waters off 53,000-sq-mi area claimed by both countries",,Article
1968,1-Aug-68,Jailed Ex-President Given Approval to Quit Venezuela,"Reptdly will be freed from prison, allowed to leave Venezuela",,Article
1968,3-Aug-68,Venezuela Bars Carmichael,"1st meeting of Latin Amer students set, Merida, Venezuela; Amer Negro militant S Carmichael denied visa to s to group",,Article
1968,5-Aug-68,Trailership Run in Service From Miami to Venezuela,"Caribbean Trailer Express (Bermuda) begins trailership service between Miami and ports of La Guaira and Maracaibo, Venezuela",,Article
1968,6-Aug-68,Venezuela Calm Amid Uncertainty of 4-Way Presidential Race,"CARACAS, Venezuela, Aug. 5 -- A spirit of calm, unusual in Venezuela's turbulent political history, is the striking element so far in the campaign under way for the election of a new President and Congress Dec. 1.",,Article
1968,9-Aug-68,Criticism in Venezuela,"CARACAS, Venezuela. Aug. 8 -- The nomination of Mr. Nixon aroused widespread critical comment today in Venezuela, where Mr. Nixon was assaulted by a mob in 1958.",,Article
1968,14-Aug-68,Lively Venezuela City Spurs Guyana Dispute; Expanding Economy Is Giving Impetus to Land Claims,"CIUDAD GUAYANA, Venezuela, Aug. 12 -- This audacious new city, the base for Venezuela's heavy industry, is propelling the country into a territorial confrontation with Guyana, a weak neighbor, over disputed lands.",,Article
1968,12-Sep-68,Venezuela Expands,Vigorous economic expansion in eastern Venezuela sets an encouraging example for that country's partners in the lagging Alliance for Progress. The rapid growth of heavy industry and the reclamation of hundreds of thousands of acres of land along the...,,Editorial
1968,10-Oct-68,Venezuela Ends Relations,,,Article
1968,25-Oct-68,VENEZUELA BEATEN BY U.S. CHESS TEAM,"LUGANO, Switzerland, Oct. 24 -- The United States chess team defeated Venezuela 3 1/2-1/2 today in the sixth round of the preliminaries of the 53-team 18th Olympiad for the Hamilton Russell trophy.  ",,Article
1968,3-Nov-68,Peru to Venezuela Is a 25-Day Drive,"CARACAS, Venezuela -- Motoring in South America is settling down to a respectable adventure. My husband and I recently drove about 1,000 miles in 25 days through Peru, Ecuador, Colombia and Venezuela, and, while the trip cannot be recommended to...",,Article
1968,10-Nov-68,ELECTION FEVER STIRS VENEZUELA; 3-Way Presidential Race Will Be Decided Dec. 1,"CARACAS, Venezuela, Nov. 8 -- The plaza encircled by modern office and apartment buildings was packed. White balloons and white confetti and white hats -- all in the color of the ruling Democratic Action party -- shimmered in the tropic night.",,Article
1968,19-Nov-68,Quads Born in Venezuela,"quadruplets born to Mrs Nieves Aponte, Caracas, Venezuela",,Article
1968,20-Nov-68,"Venezuela, Prague in Pact","Venezuela and Czech sign $140,000 pact calling for Venezuela to ship tobacco to Czech in exch for 420 tractors",,Article
1968,21-Nov-68,VENEZUELA HOLDS A CUBAN VESSEL; Seizure Is Put in Territorial Waters -- Havana Protests,"CARACAS, Venezuela, Nov. 20 (AP) -- The Defense Ministry said today that two warships had captured a Cuban vessel in territorial waters.",,Article
1968,25-Nov-68,Venezuela and Brazil Fight For Influence Over Guianas; GUIANAS TARGET IN NEW CONTEST,"CAYENNE, French Guiana, Nov. 24 -- ""If you come back in a few years you will find us speaking Portuguese,"" a bitter French businessman said here the other day. ""We are being overrun by Brazilians. Paris doesn't care because they are more interested...",,Article
1968,1-Dec-68,Venezuela Starts Chemical Complex,"CARACAS, Venezuela, Nov. 30 (Reuters) -- Construction of a $300-million petrochemical complex and satellite plants began this week in Bajo Grande. Just south of Lake Maracaibo in western Venezuela.",,Article
1968,2-Dec-68,VENEZUELA PICKS A NEW PRESIDENT; Close Contest is Indicated by Early Tabulations,"CARACAS, Dec. 1 -- Venezuelans voted in at atmosphere of tranquility today on their fourth free election of this century.",,Front Page
1968,4-Dec-68,CALDERA RETAINS LEAD IN VENEZUELA,"CARACAS, Dec. 3 -- Venezuela was still without a President-elect today 48 hours after Sunday's extremely close general election.",,Article
1968,5-Dec-68,CALDERA MAINTAINS LEAD IN VENEZUELA,"CARACAS, Venezuela, Dec. 4 -- The two leading candidates for President of Venezuela were separated by 30,000 votes today after more than 2.5 million votes from Sunday's general elections had been counted.",,Article
1968,8-Dec-68,"YULE TREES SCENT THE WATERFRONT; Most of the 100,000 Are on Way to Venezuela",The air along the lower Manhattan waterfront last week was spiced by the distinctive smell of pine needles.,,Article
1968,9-Dec-68,VENEZUELA TROUPE IN DANCE PROGRAM,"Danzas Venezuela, a South American company that performed yesterday afternoon at Hunter College Assembly Hall, has all the ingredients of a successful folk dance troupe. Its dancers are spirited, its costumes and musicians add just the right touch of...",,Article
1968,15-Dec-68,"Venezuela; After the Vote, It's on With Christmas Shopping",CARACAS -- Take a country that has had 57 years of military dictatorship in the 68 years of the 20th century. Take an aging party and entrench it in power for 10 years. Mix in a powerful military class and a tradition of violence.,,Article
1968,15-Dec-68,Example in Venezuela,Ed regrets his election as Sen,,Editorial
1968,16-Dec-68,Aid of Lindbergh Son Sought In Venezuela Search for Jet,"CARACAS, Venezuela, Dec. 15 (AP) -- Officials said today that Jon Lindbergh had been asked to direct crews with sonar and deep-sea diving equipment in efforts to recover the wreckage of a plane that crashed Thursday with the loss of 51 lives.  ",,Article
1969,5-Jan-69,Burnham Accuses Venezuela,Burnham charges Venezuela backs revolt,,Article
1969,6-Jan-69,Venezuela Denies Charge,Venezuelan Min Iribarren denies role,,Article
1969,6-Jan-69,"Guyana Reports End of Uprising, Says Venezuela Aided Rebels","GEORGETOWN, Guyana, Jan. 5 -- A Government spokesman said today that Guyanese troops had crushed a rebellion on the Brazil-Guyana border.",,Article
1969,20-Jan-69,Venezuela Starts Petrochemical Plan; Venezuela Starts Big Program For Exporting Petrochemicals,"CARACAS, Venezuela -- Far from content at being the world's leading exporter of crude oil, the Government has begun a billion-dollar program to make Venezuela one of the world's leading exporters of petrochemicals.",,Article
1969,26-Jan-69,Venezuela Seizes 5 Rebels,5 reptd captured attempting to buy supplies for comrades operating along Colombian frontier,,Article
1969,7-Feb-69,Doctors Strike in Venezuela,,,Article
1969,16-Feb-69,65 on Hijacked Jetliner Flown Back to Venezuela,"CARACAS, Venezuela, Feb. 15 (Reuters) -- Sixty-five passengers of a Venezuelan Aero-postal Airlines DC-9 jetliner hijacked to Cuba Tuesday returned to Venezuela today. The crew of five remained in Cuba.",,Article
1969,21-Feb-69,Rockefeller in Venezuela,,,Article
1969,10-Mar-69,Koch and Mrs. Smith Take Singles Titles in Venezuela,,,Article
1969,17-Mar-69,At Least 150 Die and 100 Are Injured As Jet Falls Into a Venezuelan Suburb; PLANE CRASH KILLS 50 IN VENEZUELA,"MARACAIBO, Venezuela, March 16 -- A Venezuela DC-9 airliner crashed into a populous suburb of Maracaibo on take-off today, killing at least 150 persons aboard the plane and on the ground. It was the worst airline disaster in history.",,Front Page
1969,18-Mar-69,VENEZUELA TOLL NOW PUT AT 155; Debris Is Sifted for Victims of Airliner Crash,"MARACAIBO, Venezuela, March 17 (AP) -- Searchers probed through charred ruins of homes today for more victims of the crash yesterday of a Venezuelan jetliner. Five of the victims died of injuries today, raising the known death toll so far to 155.",,Article
1969,6-Apr-69,"Romulo Gallegos of Venezuela, Author and Ex-President, Dies",Ex-Pres Gallegos dies,,Obituary
1969,10-Apr-69,Venezuela Annuls the Election Of Perez Jimenez as Senator,"CARACAS, Venezuela, April 9 -- The Venezuelan Supreme Court today annuled the election of Marcos Perez Jimenez, former dictator, as Senator for the Caracas Federal District.",,Article
1969,24-Apr-69,Venezuela-Argentine Ties,Govt re-establishes diplomatic ties with Argentina after break of nearly 3 yrs,,Article
1969,4-May-69,Venezuela Takes Net Lead,,,Article
1969,13-May-69,CALDERA'S TERM IS SMOOTH SO FAR; 8-Week Transition Period in Venezuela Untroubled,"CARACAS, Venezuela, May 11 -- President Rafael Caldera, the first opposition leader to gain power democratically in Venezuela in 140 years of independence, has achieved an untroubled transition in his first eight weeks in office.",,Article
1969,28-May-69,Andean Market Pact Is Signed; 5 Nations to Abolish Tariffs by 1980 -- Venezuela Out,"BOGOTA, Colombia, May 27 -- Five South American nations -- Bolivia, Chile, Colombia, Ecuador and Peru -- last night formally joined in an association intended to develop into an Andean common market.",,Article
1969,2-Jun-69,ROCKEFELLER VISIT TO VENEZUELA OFF IN PROTEST THREAT; Caldera Asks Postponement -- Governor Says 'Forces' Seek to Disrupt Tour,"PORT OF SPAIN, Trinidad, June 1 -- Governor Rockefeller today called off his visit to Venezuela, only 24 hours before it was to begin, at the request of that country's President, Dr. Rafael Caldera.",,Front Page
1969,3-Jun-69,Anti-U. S. Rioting in Venezuela,anti-US demonstrations erupt in Valencia,,Article
1969,20-Jul-69,Venezuela Output Of Oil Recovers,,,Article
1969,26-Aug-69,VENEZUELA IS GIVEN AN $85-MILLION LOAN,"An $85-million loan was granted to Venezuela yesterday by an 18-bank syndicate headed by the Chase Manhattan Bank. The five-year loan, which is to be used for general purposes, carries an interest rate of 9 5/8 per cent.",,Article
1969,13-Sep-69,Venezuela Optimistic,,,Article
1969,3-Nov-69,BRISK FUND SALES ALARM VENEZUELA; Selling of Foreign Shares Is Illegal but Thrives Despite Drop in Stock Averages BROKERS SEE HIGH RISK Government Officials Show Increasing Concern About Country's Dollar Drain BRISK FUND SALES ALARM VENEZUELA,"CARACAS, Venezuela, Nov. 2 -- The decline in United States stock averages this year has cost Venezuelan investors $200-million to $300-million on paper, but it has not had any effect on the thriving illegal sales of foreign mutual funds hers.",,Article
1969,7-Nov-69,Bridge: Late Roberts Chapin Played A Major Role in Venezuela,"EXPATRIATE American bridge enthusiasts often contribute substantially to the development of the game in other parts of the world. Roberts Chapin, a famiilar figure in New York bridge circles before World War II who died this week in Florida, played a...",,Article
1969,25-Dec-69,Venezuela Frees 100,Caldera amnesties 100 pol prisoners,,Article
1970,20-Jan-70,University in Venezuela Occupied by the Military,"CARACAS, Venezuela, Jan. 19 (Reuters) Two hundred steel-helmeted troops armed with submachine guns occupied the campus of National University today and tore down placards attacking a proposed university reform bill.",,Article
1970,27-Jan-70,30 Arrested in Venezuela,"30 persons arrested, Caracas, Venezuela, in connection with kidnapping last wk of 12-yr-old boy who was freed after payment of &160,000 ransom; most of money recovered; police say part was destined for guerrillas in country",,Article
1970,27-Jan-70,Venezuela Bank Adds Card,Bank of Amer repts Banco Union will offer Bank Americard in Venezuela,,Article
1970,2-Feb-70,LATIN AMERICANS DEMAND MORE AID; Diplomatic Niceties in Peril as Economic Delegations Assemble in Venezuela U.S. COST IS AT STAKE Various Hemisphere Nations Complain That Congress Seeks to Curb Imports,"CARACAS, Venezuela, Feb. 1 --The Executive Committee of the Inter-American Economic and Social Council began gathering here today for one of the most crucial hemisphere conferences ever held by the group.",,Article
1970,15-Feb-70,Molina Leads Wall by Shot With 205 in Venezuela Golf,"MARACAIBO, Venezuela, Feb. 14 (UPI)--Florentine Molina of Argentina shot a two-under-par 70 today to maintain a onestroke lead over Art Wall of the United States after the third round of the 11th Maracaibo open golf championship.  ",,Article
1970,1-Apr-70,Venezuela Signs for $100-Million Loan,"Agreement for a $100-million loan to Venezuela by a 16-bank syndicate was completed yesterday at the main offices of the Chase Manhattan Bank, which headed the lending group.",,Article
1970,25-Apr-70,Westinghouse Expands Investment in Venezuela,"The Westinghouse Electric Corporation announced yesterday the acquisition of ""better than a 50 per cent interest"" in Emprases Incorporadas C.A. of Maracaibo, Venezuela, a refrigerator maker.",,Article
1970,5-Jun-70,MORE OIL COMING FROM VENEZUELA; White House Reports Plan for Rise in Second Half and Possible Extension CALDERA VISITS NIXON He Says His Nation Suffers From Competition from Other Nearby Lands,"WASHINGTON, June 4 (AP) The White House announced today that the United States would increase imports of oil from Venezuela during the second half of 1970. It also indicated that an increase in Venezuelan imports may be extended beyond this year.",,Article
1970,21-Jun-70,Guyana Announces Venezuela Defers Her Border Claims,"GEORGETOWN, Guyana, June 20 Prime Minister Forties Burnham has announced that Venezuela and Guyana, with Britain's approval, have signed an agreement to shelve their border dispute for at least 12 years.",,Article
1970,19-Jul-70,VENEZUELA FINDS TERROR ABATING; Some Attribute Decline to Government Amnesty,"CARACAS, Venezuela, July 17 As the tempo of terrorist bombings increases from Canada to Argentina, many Venezuelans are wondering what happened to their anti-Government guerrilla groups.",,Article
1970,30-Aug-70,President Says Venezuela Lacks Money to Open Schools in Fall,"CARACAS, Venezuela, Aug. 29 President Rafael Caldera told Venezuelans this week that their Government did not have enough funds to open public primary and secondary schools for the new term on Sept. 15.",,Article
1970,2-Nov-70,20 Die in Venezuela Police Drive; Anticrime Campaign Stirs Fear Among Some Officials,"CARACAS, Venezuela, Nov. 1 ""Here Is No. 19,"" a police official said as he handed out photographs to newsmen yesterday.",,Article
1970,3-Nov-70,Venezuela Blans To Stiffen Law On Stock Buying,"CARACAS, Venezuela, Nov. 2 The Caracas Stock Exchange, a tiny clublike institution, is eagerly awaiting the Government's new tough Securities and Exchange Law that will be sent to Congress here this month.",,Article
1970,14-Nov-70,Oil Front: Contracts and Prices; Venezuela Awards New Fields OIL CONCERNS WIN VENEZUELA FIELDS,"CARACAS, Venezuela, Nov. 13 (UPI) The Occidental Petroleum Corporation, the Shell Oil Company and the Mobil Oil Corporation were declared winners today of the first new oil fields opened in Venezuela in more than a decade.",,Article
1970,29-Dec-70,Venezuela Purchases by Creole,Creole Petroleum repts oil purchases of $50.6-million in '70,,Article
1971,17-Jan-71,Setback in Venezuela; Oil Tax Rise And Bank Law Stun Foreign Businesses Setback in Venezuela,"CARACAS, Venezuela -- If anyone had asked a foreign businessman a month ago to name the Latin American land with the best climate for investment, the answer undoubtedly would have been Venezuela.",,Article
1971,25-Jan-71,Ecuador's Goal -- the New Venezuela,"QUITO, Ecuador -- The Government imposed new economic reforms here last year as Latin America's leading banana-exposing country prepared to become a major petroleum supplier as well.",,Article
1971,25-Jan-71,Squeeze on Foreigners Tightening in Venezuela,"CARACAS, Venezuela -- After years of economic boom and high living, Venezuelans were asked to pay the bill in the form of tax increases last year. They promptly passed the bill to the foreign business community in a manner that sent a chill...",,Article
1971,17-Feb-71,Venezuela to Increase Price,"VIENNA, Feb. 16 (UPI) -- Venezuela, a supplier of the United States market, will increase her oil prices next month by about 25 per cent, an oil official said here today.",,Article
1971,22-Feb-71,VENEZUELA GIVEN A TRADE WARNING; U.S. Hints Reprisal If Curbs on Investors Continue VENEZUELA GIVEN A TRADE WARNING,"CARACAS, Venezuela, Feb. 21 -- The recent surge of economic nationalism here has evoked a subtle warning from Washington that further restrictions on United States investors in Venezuela could cause trade reprisals.  ",,Article
1971,28-Feb-71,Venezuela Receiving Signals for Change; Venezuela,"CARACAS, Venezuela -- This country has received two clear messages recently. One came through the medium of the Middle East oil negotiations and the other from the radical economic experiments now under way in Chile, Peru and other Latin American...",,Article
1971,5-Mar-71,Venezuela May Raise Taxes,Venezuela reptdly to raise tax prices for oil exports by avg of half-a-dollar per bbl; rise expected to have major impact on US East Coast supplies,,Article
1971,9-Mar-71,Venezuela Increases Taxes,Venezuela orders rise in taxes on foreign oil cos of about $500-million yrly,,Article
1971,18-Mar-71,Venezuela Nears a Curb On Natural-Gas Resources,,,Article
1971,20-Mar-71,Yankee Hostage Survives Taxing Day in Venezuela,"MIAMI, March 19 -- Diplomats in the United States and Venezuela can relax. L'Affaire Fishel has ended, eradicating the threat of a cessation in friendly relations between the countries.  ",,Article
1971,21-Mar-71,Orantes and Koch Reach Final in Venezuela Tennis,,,Article
1971,10-Apr-71,VENEZUELA GETS $70-MILLION LOAN; Hanover Bank Heads Group in Eurodollar Borrowing VENEZUELA GETS $70-MILLION LOAN,The Venezuelan Government formally completed yesterday a $70-million Eurodollar borrowing from an international syndicate of 26 banks headed by the Manufacturers Hanover Trust Company.,,Article
1971,19-Apr-71,U. S. Banks React To Venezuela Law; VENEZUELA LAW HITS U.S. BANKS,"CARACAS, Venezuela, April 18 -- The Chase Manhattan and First National City Banks are once again showing their sharp division in thinking about banking in Latin America. This time it is their separate approaches to the problem of rising nationalism...",,Article
1971,29-Apr-71,Students Clash in Venezuela,,,Article
1971,17-May-71,Canonero II's Victory Seen By 5 Million in Venezuela,race televised in Venezuela,,Article
1971,6-Jun-71,NO JOY IN VENEZUELA AS CANONERO FAILS,"CARACAS, June 5 (UPI) -- Sadness overcame most of Venezuela's high officials and the people in general who had trusted Canonero II to win the Belmont Stakes today.  ",,Article
1971,18-Jun-71,Venezuela Nearing Take-Over of Oil Operations; VENEZUELA NEARS TAKE-OVER OF OIL,"CARACAS, Venezuela, June 17 -- The Venezuelan Congress, in an unusual display of unity, is rushing legislation that would place all foreign petroleum companies under effective Government control. And when the present concessions expire, starting in...",,Front Page
1971,21-Jun-71,Oil Men Dread Coming Days in Venezuela; OIL MEN DREADING VENEZUELAN DAYS,"CARACAS, Venezuela, June 20 -- Time was when foreign oil men here looked forward each year to June 24 and July 5, Venezuela's big patriotic holidays. It meant two more days at the beach or golf course.",,Article
1971,23-Jun-71,VENEZUELA GETS OIL-BILL WARNING; Nation's Role as a Producer Held Jeopardized by Law VENEZUELA GETS OIL-BILL WARNING,"CARACAS, Venezuela, June 22 -- The foreign petroleum industry, producer of 98 per cent of this country's crude oil, warned today that pending legislation here to control its operations could undermine Venezuela's position as one of the world's major...",,Article
1971,29-Jun-71,Venezuela Oil Bill Author Rejects a 'Trial Balloon',"CARACAS, Venezuela, June 28 (UPI) -- The author of the oil reversion bill, now before the Congress, rejected today a ""trial balloon"" sent up by the oil industry that suggested a settlement of differences over the legislation through bilateral talks.",,Article
1971,14-Jul-71,Venezuela Oil Bill Gains,Venezuelan Sen approves 1st article in bill which affects US and other foreign oil properties; Lower House has already passed bill,,Article
1971,30-Jul-71,Occidental and Shell Group Sign Venezuela Oil Pacts,"Venezuelan Govt formally signs oil-service contracts with Occidental Petroleum and Royal Dutch Shell Group; new contracts for 5 blocks of 123,000-acres stipulate unprecedented benefits for Govt, which will collect almost 90% of profits and have major...",,Article
1971,31-Jul-71,Caracas Signs Oil Law;; Controls Increased VENEZUELA SIGNS OIL-COMPANY LAW,"CARACAS, Venezuela, July 30 -- President Rafael Caldera placed all foreign petroleum companies under effective state control at noon today by signing the Hydrocarbons Reversion Law, which was passed by Congress here 10 days ago.",,Article
1971,2-Aug-71,Venezuela Preparing Measure To Nationalize Gas Resources; Venezuela Plans to Nationalize Gas Resources,"CARACAS, Venezuela, July 31 -- The Venezuelan Congress which is unusual in Latin America in that it dictates its wishes to the executive branch of Government, is preparing legislation to nationalize all natural gas resources in the country.",,Article
1971,11-Aug-71,"CUBA, U.S. NINES FINISH 1-2 AT CALI; Americans Top Venezuela in Final Game by 7 to 2","CALI, Colombia, Aug. 10 (AP) -- The United States won the silver medal for baseball today with a 7-2 final-game victory over Venezuela in the Pan-American Games.",,Article
1971,5-Oct-71,' Kidnapped' Dominican Aide Is Expelled From Venezuela,"Dominican Repub Consul, Mrs T Frias, expelled from Venezuela with her adopted son, Vice Consul Frias, after she was found by police in 'voluntary seclusion' following 4-day search; she was reptd kidnapped and held for $1-million; aide who found 1st...",,Article
1971,25-Nov-71,Diplomat Defends Oil and Gas Policy Set by Venezuela; VENEZUELA GOAL ON OIL DEFENDED,"The Venezuelan Ambassador to the United States, Julio Sosa Rodriguez, said yesterday that there has been considerable misunderstanding in this country about the oil and natural gas laws recently passed in Venezuela.",,Article
1971,22-Dec-71,Venezuela Revalues by 2%,"CARACAS, Venezuela, Dec. 21 (UPI) -- President Rafael Caldera announced today that the Venezuelan bolivar, Latin America's strongest currency, was being revalued by 2 per cent to 4.40 to the dollar.",,Article
1971,26-Dec-71,Venezuela Pardons 200,"Venezuelan Pres Caldera pardons 200 prisoners, including some pol leaders and army officers",,Article
1972,20-Feb-72,"Oil Showdown; Venezuela, Industry, Consumers May Be Hurt","CARACAS, Venezuela -- The foreign petroleum industry and the Venezuelan Government are locked in an undeclared and unusual showdown here -- and the odds are that both sides will be hurt, along with an innocent bystander, the United States fuel-oil...",,Article
1972,14-Mar-72,6 Killed in Venezuela,,,Article
1972,17-Apr-72,Venezuela Shaping Added Taxes on Oil; VENEZUELA PLANS ADDED OIL TAXES,"CARACAS, Venezuela, April 16 (UPI) -- Foreign oil companies would pay taxes of up to $136-million this year over and above normal income-tax levies under legislation now being hammered out by the Venezuela Government.",,Article
1972,25-May-72,Venezuela Ex-Ruler Returns,"M Perez Jimenez, who ruled Venezuela from '48-59, returns to Venezuela after 4 1/2 yrs of exile and in defiance of charge of indirect responsibility for murder; has announced intention of running for Pres next yr",,Article
1972,19-Jun-72,A TENTATIVE PACT ON LATIN OIL SET; U.S. and Venezuela Explore Plan That Would Avoid an Increase In Tariffs,"WASHINGTON, June 18 -The United States and Venezuela are entering the homestretch on delicate, hitherto unreported negotiations that involve tariffs on virtually all United States imports of oil.",,Article
1972,27-Jun-72,Venezuela Modifies U.S. Pact,"WASHINGTON, June 26 -- In a concession designed to prevent disruption of international oil-marketing patterns, Venezuela, a major oil exporter, has agreed to modify rather than terminate entirely its bilateral trade treaty with the United States.",,Article
1972,6-Jul-72,"Dr. Raul ueoni, 67, President Of Venezuela, 1964.69, Dead; Leader of Democrntlc Action' 'Party Ca'e to Power After Exile and Prison","Leoni, Raul (Dr)",,Obituary
1972,24-Aug-72,"TWO IN VENEZUELA SUSPEND DRILLING; Mobil, Shell Hit Dry Holes -- Occidental Is Continuing",Two major international oil companies announced yesterday that they had suspended exploration in the southern portion of Venezuela's Lake Maracaibo after striking several dry holes.,,Article
1972,28-Aug-72,24 Are Reported Killed In Venezuela Air Crash,"Aeropostal Venezolano: Aeropostal Venezolano DC-3 on Valencia-Cuidad Bolivar, Colombia, flight crashes near Canaima on Aug 27 killing all 24 aboard",,Article
1972,3-Sep-72,U.S. and Venezuela Arrest 14 and Seize 70 Pounds of Drugs,"WASHINGTON, Sept. 2 (AP) -- The seizure of 70 pounds of heroin and cocaine with an estimated street value of $12.6-million and the arrests of 14 persons in Caracas, Venezuela, and Miami have broken up an international drug ring, the Bureau of...",,Article
1972,16-Sep-72,Venezuela in 3d Place in Oil Sales; VENEZUELA FALLS IN EXPORTS OF OIL,"CARACAS, Venezuela -- Two years ago Venezuela was the world's leading petroleum exporter. Today, she is in third place, behind Saudi Arabia and Iran. The causes of her decline are supply, demand and price, and there is no immediate prospect for...",,Article
1972,19-Sep-72,Venezuela Scores Baseball Upsets,,,Article
1972,20-Sep-72,Venezuela Cites Oil Find,Venezuela announces offshore oil strike on continental shelf off north-west coast,,Article
1972,21-Sep-72,Venezuela Nine Wins in Honolulu,,,Article
1972,29-Oct-72,The Mounting Problems in Venezuela Produce Election Fever 13 Months Early,"CARACAS, Venezuela, Oct. 16 -- In a lovely tropical garden near the edge of this capital city, a 1954 British sports car sits on a little pedestal between two palm trees. The car is completely beyond redemption.",,Article
1973,3-Jan-73,"Eleazar Lopez Contreras, 89, Former President of Venezuela; Succeeded Dictator","Former President Eleazar Lopez Contreras, who governed from 1935 to 1941 after the death of Gen, Juan Vicente Gomez, died today at the age of 89.",,Article
1973,28-Jan-73,Venezuela: Sea of Oil Ebbs,"CARACAS, Venezuela-The petroleum sea upon which Venezuela's economy floats fell perceptively last year, exposing some dangerous shoals of which there were only hints in the vast.  ",,Article
